,Unnamed: 0_x,CDS_uniq,max_lst,min_lst,med_lst,sd_lst,Unnamed: 0_y,lat,lon,mean_lst
36,36,38684786059844,299.8510077519379,297.06386100386106,299.8510077519379,1.0056059255661929,36,37.8045680719,-122.410968542,299.4500392005349
37,37,38684783831765,298.697751004016,298.697751004016,298.697751004016,5.8731106484947285e-06,37,37.803790257,-122.424145177,298.697751004016
38,38,38684786041040,299.8510077519379,299.8510077519379,299.8510077519379,0.0,38,37.8020365815,-122.406694818,299.82746042918143
39,39,38684783830437,301.88266666666686,301.27240816326537,301.88266666666686,0.2936603489799121,39,37.7832635868,-122.43668869,301.6481710228433
40,40,38684780101352,301.88266666666686,301.27240816326537,301.88266666666686,0.2936603489799121,40,37.7832635868,-122.43668869,301.6481710228433
41,41,38684780123117,300.01463829787247,300.01463829787247,300.01463829787247,6.229374549314316e-06,41,37.792866687,-122.433599207,300.01463829787247
42,42,38684780123265,300.01463829787247,300.01463829787247,300.01463829787247,6.229374549314316e-06,42,37.792866687,-122.433599207,300.01463829787247
43,43,38684786059828,299.9445283018867,298.950134529148,298.950134529148,0.4837510507389029,43,37.750303123,-122.496665854,299.29951241878274
44,44,38684786113997,299.746066350711,293.5642592592593,298.950134529148,2.5248304289054557,44,37.7505234673,-122.499155014,297.74221236234854
45,45,38684786041073,300.5116935483871,299.0880869565218,300.5116935483871,0.6710945832432735,45,37.7331313945,-122.435620979,300.01106040144145
46,46,38684786041115,298.6236290322579,298.6236290322579,298.6236290322579,0.0,46,37.7634909581,-122.450420616,298.6236290322579
47,47,38684786041123,299.9854700854701,299.9854700854701,299.9854700854701,0.0,47,37.7101830867,-122.434030663,299.98713397321546
48,48,38684786040760,302.63555555555564,302.63555555555564,302.63555555555564,4.152916366209544e-06,48,37.7178978854,-122.389223468,302.63555555555564
49,49,38684786041156,300.8485039370078,300.8485039370078,300.8485039370078,0.0,49,37.7284140084,-122.418688477,300.8485039370078
50,50,38684786059851,300.2082296650717,299.3628155339807,299.3628155339807,0.2606641417169481,50,37.7455553453,-122.46896555,299.48096192804616
51,51,38684786041230,298.5662135922331,298.5662135922331,298.5662135922331,5.634681288726779e-06,51,37.7629241273,-122.476567678,298.5662135922331
52,52,38684786041008,299.7259047619045,291.6264114832538,298.950134529148,2.58321525247859,52,37.758097729,-122.501999531,297.7858523779858
53,53,38684786041602,303.9114068441065,303.53618320610667,303.9114068441065,0.1398375935981964,53,37.7533266594,-122.399052944,303.8419844716123
54,54,38684786059885,302.3990697674418,302.3990697674418,302.3990697674418,5.7672801667667724e-06,54,37.7277421947,-122.405804762,302.3990697674418
55,55,38684786040943,302.3990697674418,302.3990697674418,302.3990697674418,5.7672801667667724e-06,55,37.7273291046,-122.407308678,302.3802837881355
56,56,38684780101337,301.8403137254902,301.8403137254902,301.8403137254902,0.0,56,37.7195489722,-122.396243014,301.84812297423053
57,57,38684780127530,303.8803100775194,303.8803100775194,303.8803100775194,8.529922399520072e-06,57,37.7616836584,-122.400110055,303.8803100775194
58,58,38684786041305,298.368,298.368,298.368,0.0,58,37.7770689989,-122.496883405,298.368
59,59,38684786041321,299.7342424242424,297.1526041666665,299.7342424242424,0.5158792557321207,59,37.7303235273,-122.485423489,299.62201562631543
60,60,38684783833407,299.7342424242424,297.1526041666665,299.7342424242424,0.8775882566605074,60,37.7294352996,-122.483054124,299.3767382649969
61,61,38684786099154,303.9114068441065,303.9114068441065,303.9114068441065,0.0,61,37.7567409319,-122.412626994,303.9114068441065
62,62,38684780117465,300.886913580247,300.886913580247,300.886913580247,0.0,62,37.7950802051,-122.409084109,300.886913580247
63,63,38684786040877,300.886913580247,300.886913580247,300.886913580247,3.596531072929624e-06,63,37.7943974427,-122.408809466,300.886913580247
64,64,38684786041339,299.5213761467889,298.1008376963351,299.5213761467889,0.5985084254990951,64,37.7580506744,-122.489098242,299.2194531229961
65,65,38684786062053,302.67317829457386,302.67317829457386,302.67317829457386,6.229374549314316e-06,65,37.7493628293,-122.432784798,302.67317829457386
66,66,38684783830429,295.8835807860263,295.8835807860263,295.8835807860263,3.1816774605876888e-06,66,37.8255108855,-122.367996722,295.7722904678181
67,67,38684786102479,297.8865546218489,297.8865546218489,297.8865546218489,0.0,67,37.8033168444,-122.442899827,297.8865546218489
68,68,38684783833241,300.2082296650717,299.9445283018867,300.2082296650717,0.0832419524423619,68,37.7465923249,-122.480238385,300.17613554832843
69,69,38684786041362,299.5638793103448,299.5638793103448,299.5638793103448,0.0,69,37.7104241428,-122.446738605,299.5638793103448
70,70,38684780117572,302.88824902723763,302.88824902723763,302.88824902723763,0.0,70,37.7552750188,-122.428095058,302.88824902723763
71,71,38684786041586,302.99538461538475,302.99538461538475,302.99538461538475,0.0,71,37.7345510848,-122.380846295,302.99538461538475
72,72,38684786062061,299.022092050209,297.8865546218489,299.022092050209,0.3568649849732191,72,37.8018258207,-122.435481059,298.9223922269836
73,73,38684783830403,303.3085057471263,302.7773384030417,303.3085057471263,0.2465842228836582,73,37.7363104115,-122.401645797,303.13963356436506
74,74,38684786041412,304.5536964980545,304.5536964980545,304.5536964980545,0.0,74,37.7662890443,-122.419024156,304.5536964980545
75,75,38684780117515,301.88266666666686,301.27240816326537,301.88266666666686,0.2326427717944109,75,37.7830089346,-122.429504335,301.7580738428367
76,76,38684786041503,301.88266666666686,301.27240816326537,301.88266666666686,0.2326427717944109,76,37.7830089346,-122.429504335,301.7580738428367
77,77,38684786041016,300.0866079295154,300.0866079295154,300.0866079295154,0.0,77,37.7763113671,-122.464480175,300.0866079295154
78,78,38684786041420,302.900234375,299.8092682926829,299.8092682926829,1.2363864329328191,78,37.766884372,-122.436280479,300.45427348989307
79,79,38684780117531,300.1593600000001,300.1593600000001,300.1593600000001,1.3214498959113138e-05,79,37.7131311335,-122.423185519,300.1593600000001
80,80,38684786040919,301.0468774703556,301.0468774703556,301.0468774703556,0.0,80,37.758927737,-122.436447218,301.0468774703556
81,81,38684786041438,298.596558139535,298.596558139535,298.596558139535,6.506369517688307e-06,81,37.7386361225,-122.450190686,298.596558139535
82,82,38684786089585,300.8384552845529,300.8384552845529,300.8384552845529,0.0,82,37.7422031386,-122.431435561,300.8384552845529
83,83,38684783834082,302.900234375,302.900234375,302.900234375,0.0,83,37.762019214,-122.427306422,302.900234375
84,84,38684786041446,300.7533333333335,300.7533333333335,300.7533333333335,0.0,84,37.7253987352,-122.430486702,300.7200051903758
85,85,38684786093488,300.7533333333335,300.7533333333335,300.7533333333335,0.0,85,37.7261042485,-122.432133395,300.7533333333335
86,86,38684786041255,303.26286821705406,303.26286821705406,303.26286821705406,0.0,86,37.7737597211,-122.428679435,303.26286821705406
87,87,38684786097919,299.8092682926829,299.8092682926829,299.8092682926829,0.0,87,37.7738854255,-122.450266899,299.8092682926829
88,88,38684780117473,298.950134529148,298.950134529148,298.950134529148,6.229374549314316e-06,88,37.7538336041,-122.503653689,298.7869261876362
89,89,38684783834769,304.79952569169944,304.79952569169944,304.79952569169944,7.82759362857936e-06,89,37.7595153689,-122.413555234,304.79952569169944
90,90,38684786041271,299.85971291866025,299.5395744680851,299.5395744680851,0.1425774272973482,90,37.7167813195,-122.46667376,299.64896482533584
91,91,38684786041206,300.886913580247,300.886913580247,300.886913580247,0.0,91,37.7976204333,-122.411038058,300.886913580247
92,92,38684786041065,298.06899521531074,298.06899521531074,298.06899521531074,0.0,92,37.7838543309,-122.465024311,298.06899521531074
93,93,38684783839081,299.42368932038823,298.368,299.42368932038823,0.4933527289938212,93,37.7779031721,-122.491011221,299.09277626662896
94,94,38684786062079,299.42368932038823,299.42368932038823,299.42368932038823,7.62939453125e-06,94,37.7808645063,-122.489627079,299.42368932038823
95,95,38684786041511,301.4089682539681,301.4089682539681,301.4089682539681,0.0,95,37.7895210952,-122.419254193,301.4089682539681
96,96,38684786041487,302.7773384030417,302.7773384030417,302.7773384030417,5.7672801667667724e-06,96,37.7376140312,-122.413117225,302.767273021668
97,97,38684786089775,301.4342063492066,298.1987654320987,301.4342063492066,1.6161906988960484,97,37.7548094174,-122.443225848,299.9265490283977
98,98,38684786059901,300.4404273504272,300.4404273504272,300.4404273504272,0.0,98,37.7822814687,-122.458354846,300.4404273504272
99,99,38103893830445,301.88266666666686,301.88266666666686,301.88266666666686,0.0,99,37.7802963347,-122.422942198,301.9130144961538
100,100,38103896069561,299.42368932038823,299.42368932038823,299.42368932038823,0.0,100,37.7755109121,-122.483876468,299.42368932038823
