,unique_ide,mean_lst,max_lst,min_lst,sd_lst,latitude,longitude
164,0832/067_2018,301.88266666666686,301.88266666666686,301.88266666666686,0.0,37.77561060868048,-122.4234297534728
165,3936/003_2018,303.8853405835909,303.9268679245282,303.8803100775194,0.020160138385598853,37.76642498997941,-122.40334170511515
166,3973/001_2018,304.5536964980545,304.5536964980545,304.5536964980545,0.0,37.76415599335341,-122.40791023810334
167,0173/001_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79749750723951,-122.40031841982112
168,0813/007_2018,302.2064654731457,302.3830830039525,301.88266666666686,0.245152937136264,37.77722361221247,-122.41736136122698
169,3754/017_2018,302.3830830039525,302.3830830039525,302.3830830039525,0.0,37.77604066888284,-122.40608263266698
170,3721/089_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78807978126032,-122.39914428912876
171,0833/003_2018,301.88266666666686,301.88266666666686,301.88266666666686,0.0,37.77538055375136,-122.4218321412906
172,3774/008_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78383432103729,-122.39206309291666
173,3958/006_2018,303.8803100775194,303.8803100775194,303.8803100775194,0.0,37.76567396906219,-122.4041560612891
174,0814/022_2018,301.88266666666686,301.88266666666686,301.88266666666686,0.0,37.77679176270006,-122.41832847593332
175,3923/006_2018,303.9031536492613,303.9268679245282,303.9268679245282,0.0,37.767561985077926,-122.4111420260856
176,0239/030_2018,297.6666947311477,297.58708487084857,297.58708487084857,0.0,37.79369157122899,-122.40172285672742
177,0235/022_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.794053197953794,-122.39734769199109
178,4316/002_2018,303.53618320610667,303.53618320610667,303.53618320610667,0.0,37.750452790287945,-122.38902035302668
179,3529/051_2018,303.5312587045004,303.9268679245282,303.26286821705406,0.33199985376310664,37.76903693031091,-122.41403461232564
180,0084/008_2018,297.06386100386106,297.06386100386106,297.06386100386106,0.0,37.80286114714826,-122.40226700624088
181,4083/002_2018,304.79952569169944,304.79952569169944,304.79952569169944,0.0,37.75942921966527,-122.41206053625147
182,0260/010_2018,300.886913580247,300.886913580247,300.886913580247,0.0,37.79234639910279,-122.40238532358562
183,9900/278_2018,291.77057238582944,290.91198443579765,290.91198443579765,0.0,37.79411704311017,-122.39216326195904
184,3514/022_2018,303.26286821705406,303.26286821705406,303.26286821705406,0.0,37.77049395362264,-122.41912370438654
185,3751/169_2018,300.33751824817534,300.33751824817534,300.33751824817534,0.0,37.78204910845075,-122.39957687452208
186,0285/006_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78965674282338,-122.4078343400912
187,4570/031_2018,299.62007272727277,299.62007272727277,299.62007272727277,4.404832986371046e-06,37.74016285972578,-122.37762209945411
188,3714/019_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79376580940998,-122.39331974976658
189,0295/007_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78862123235746,-122.4080689076724
190,0018/005_2018,297.06386100386106,297.06386100386106,297.06386100386106,0.0,37.807374546503,-122.409498312566
191,3920/001_2018,303.9268679245282,303.9268679245282,303.9268679245282,0.0,37.76807589905084,-122.40828959609487
192,3748/390_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.7870668098953,-122.39297679986896
193,3786/014B_2018,303.47214007782117,303.47214007782117,303.47214007782117,4.404832986371046e-06,37.77661814998596,-122.39635936848438
194,3593/001_2018,304.79952569169944,304.79952569169944,304.79952569169944,4.404832986371046e-06,37.76029062620603,-122.41320041505402
195,3735/062_2018,298.7633948339484,298.7633948339484,298.7633948339484,4.404832986371046e-06,37.78545549584106,-122.39801740626244
